areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByPublishDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-11-14,,,36517,
K02000001,United Kingdom,overview,2021-11-13,,80.0,38351,
K02000001,United Kingdom,overview,2021-11-12,142881,80.0,40375,39
K02000001,United Kingdom,overview,2021-11-11,142842,79.9,42408,97
K02000001,United Kingdom,overview,2021-11-10,142745,79.9,39329,128
K02000001,United Kingdom,overview,2021-11-09,142617,79.8,33117,119
K02000001,United Kingdom,overview,2021-11-08,142498,79.8,32322,145
K02000001,United Kingdom,overview,2021-11-07,142353,79.7,30305,159
K02000001,United Kingdom,overview,2021-11-06,142194,79.7,30693,158
K02000001,United Kingdom,overview,2021-11-05,142036,79.7,34029,142
K02000001,United Kingdom,overview,2021-11-04,141894,79.6,37269,147
K02000001,United Kingdom,overview,2021-11-03,141747,79.6,41299,157
K02000001,United Kingdom,overview,2021-11-02,141590,79.6,33865,156
K02000001,United Kingdom,overview,2021-11-01,141434,79.5,40077,169
K02000001,United Kingdom,overview,2021-10-31,141265,79.5,38009,181
K02000001,United Kingdom,overview,2021-10-30,141084,79.5,41278,165
K02000001,United Kingdom,overview,2021-10-29,140919,79.4,43467,168
K02000001,United Kingdom,overview,2021-10-28,140751,79.4,39842,188
K02000001,United Kingdom,overview,2021-10-27,140563,79.3,43941,158
K02000001,United Kingdom,overview,2021-10-26,140405,79.3,40954,159
K02000001,United Kingdom,overview,2021-10-25,140246,79.3,36567,130
K02000001,United Kingdom,overview,2021-10-24,140116,79.2,39962,150
K02000001,United Kingdom,overview,2021-10-23,139966,79.2,44985,162
K02000001,United Kingdom,overview,2021-10-22,139804,79.1,49298,133
K02000001,United Kingdom,overview,2021-10-21,139671,79.1,52009,153
K02000001,United Kingdom,overview,2021-10-20,139518,79.0,49139,152
K02000001,United Kingdom,overview,2021-10-19,139366,79.0,43738,128
K02000001,United Kingdom,overview,2021-10-18,139238,78.9,49156,127
K02000001,United Kingdom,overview,2021-10-17,139111,78.9,45140,127
K02000001,United Kingdom,overview,2021-10-16,138984,78.9,43423,132
K02000001,United Kingdom,overview,2021-10-15,138852,78.8,44932,137
K02000001,United Kingdom,overview,2021-10-14,138715,78.8,45066,149
K02000001,United Kingdom,overview,2021-10-13,138566,78.7,42776,119
K02000001,United Kingdom,overview,2021-10-12,138447,78.7,38520,113
K02000001,United Kingdom,overview,2021-10-11,138334,78.6,40224,123
K02000001,United Kingdom,overview,2021-10-10,138211,78.6,34574,96
K02000001,United Kingdom,overview,2021-10-09,138115,78.5,34950,115
K02000001,United Kingdom,overview,2021-10-08,138000,78.5,41765,114
K02000001,United Kingdom,overview,2021-10-07,137886,78.4,40701,121
K02000001,United Kingdom,overview,2021-10-06,137765,78.4,39851,101
K02000001,United Kingdom,overview,2021-10-05,137664,78.3,33869,119
K02000001,United Kingdom,overview,2021-10-04,137545,78.3,35077,101
K02000001,United Kingdom,overview,2021-10-03,137444,78.2,30439,96
K02000001,United Kingdom,overview,2021-10-02,137348,78.2,30301,109
K02000001,United Kingdom,overview,2021-10-01,137239,78.1,35577,129
K02000001,United Kingdom,overview,2021-09-30,137110,78.1,36480,113
K02000001,United Kingdom,overview,2021-09-29,136997,78.0,36722,124
K02000001,United Kingdom,overview,2021-09-28,136873,78.0,34526,105
K02000001,United Kingdom,overview,2021-09-27,136768,77.9,37960,114
K02000001,United Kingdom,overview,2021-09-26,136654,77.8,32417,97
K02000001,United Kingdom,overview,2021-09-25,136557,77.8,32468,124
K02000001,United Kingdom,overview,2021-09-24,136433,77.7,35623,124
K02000001,United Kingdom,overview,2021-09-23,136309,77.6,36710,137
K02000001,United Kingdom,overview,2021-09-22,136172,77.6,34460,146
K02000001,United Kingdom,overview,2021-09-21,136026,77.5,31564,120
K02000001,United Kingdom,overview,2021-09-20,135906,77.4,36100,134
K02000001,United Kingdom,overview,2021-09-19,135772,77.3,29612,126
