areaCode,areaName,areaType,date,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000004,East Midlands,region,02/12/2021,,3692,
E12000004,East Midlands,region,01/12/2021,74.9,3317,2
E12000004,East Midlands,region,30/11/2021,74.9,2655,8
E12000004,East Midlands,region,29/11/2021,74.8,3149,15
E12000004,East Midlands,region,28/11/2021,74.8,2675,9
E12000004,East Midlands,region,27/11/2021,74.7,3085,6
E12000004,East Midlands,region,26/11/2021,74.7,3601,11
E12000004,East Midlands,region,25/11/2021,74.6,3708,12
E12000004,East Midlands,region,24/11/2021,74.6,2945,5
E12000004,East Midlands,region,23/11/2021,74.6,3541,15
E12000004,East Midlands,region,22/11/2021,74.5,3529,6
E12000004,East Midlands,region,21/11/2021,74.5,2717,7
E12000004,East Midlands,region,20/11/2021,74.5,2926,9
E12000004,East Midlands,region,19/11/2021,74.4,3085,11
E12000004,East Midlands,region,18/11/2021,74.4,3782,17
E12000004,East Midlands,region,17/11/2021,74.4,2698,14
E12000004,East Midlands,region,16/11/2021,74.3,2859,13
E12000004,East Midlands,region,15/11/2021,74.3,2971,19
E12000004,East Midlands,region,14/11/2021,74.3,2519,9
E12000004,East Midlands,region,13/11/2021,74.3,3107,8
E12000004,East Midlands,region,12/11/2021,74.2,2876,13
E12000004,East Midlands,region,11/11/2021,74.2,3091,9
E12000004,East Midlands,region,10/11/2021,74.2,2976,9
E12000004,East Midlands,region,09/11/2021,74.1,2748,9
E12000004,East Midlands,region,08/11/2021,74.1,2249,16
E12000004,East Midlands,region,07/11/2021,74.1,2106,15
E12000004,East Midlands,region,06/11/2021,74.1,2363,10
E12000004,East Midlands,region,05/11/2021,74,2485,10
E12000004,East Midlands,region,04/11/2021,74,2492,9
E12000004,East Midlands,region,03/11/2021,74,2619,10
E12000004,East Midlands,region,02/11/2021,73.9,2407,10
E12000004,East Midlands,region,01/11/2021,73.9,2707,16
E12000004,East Midlands,region,31/10/2021,73.9,2534,18
E12000004,East Midlands,region,30/10/2021,73.9,3082,8
E12000004,East Midlands,region,29/10/2021,73.8,3085,10
E12000004,East Midlands,region,28/10/2021,73.8,2850,14
E12000004,East Midlands,region,27/10/2021,73.7,3541,15
E12000004,East Midlands,region,26/10/2021,73.7,2922,9
E12000004,East Midlands,region,25/10/2021,73.7,2897,10
E12000004,East Midlands,region,24/10/2021,73.7,2558,12
E12000004,East Midlands,region,23/10/2021,73.6,3642,15
E12000004,East Midlands,region,22/10/2021,73.6,3394,5
E12000004,East Midlands,region,21/10/2021,73.5,3710,6
E12000004,East Midlands,region,20/10/2021,73.5,3406,16
E12000004,East Midlands,region,19/10/2021,73.5,2783,13
E12000004,East Midlands,region,18/10/2021,73.4,3392,11
E12000004,East Midlands,region,17/10/2021,73.4,3382,11
E12000004,East Midlands,region,16/10/2021,73.4,3422,7
E12000004,East Midlands,region,15/10/2021,73.3,3438,8
E12000004,East Midlands,region,14/10/2021,73.3,3898,11
E12000004,East Midlands,region,13/10/2021,73.2,3684,12
E12000004,East Midlands,region,12/10/2021,73.2,3497,14
E12000004,East Midlands,region,11/10/2021,73.1,3394,12
E12000004,East Midlands,region,10/10/2021,73.1,3434,6
E12000004,East Midlands,region,09/10/2021,73.1,3325,7
E12000004,East Midlands,region,08/10/2021,73,3138,9
E12000004,East Midlands,region,07/10/2021,73,3919,10
E12000004,East Midlands,region,06/10/2021,72.9,3849,6
E12000004,East Midlands,region,05/10/2021,72.9,3144,10
E12000004,East Midlands,region,04/10/2021,72.8,2906,8
E12000004,East Midlands,region,03/10/2021,72.8,2769,7
E12000004,East Midlands,region,02/10/2021,72.8,3291,7
E12000004,East Midlands,region,01/10/2021,72.7,3457,12
E12000004,East Midlands,region,30/09/2021,72.7,3327,8
E12000004,East Midlands,region,29/09/2021,72.6,2904,10
E12000004,East Midlands,region,28/09/2021,72.6,2948,10
E12000004,East Midlands,region,27/09/2021,72.5,3361,6
E12000004,East Midlands,region,26/09/2021,72.5,2919,12
E12000004,East Midlands,region,25/09/2021,72.4,2800,9
E12000004,East Midlands,region,24/09/2021,72.3,3012,11
E12000004,East Midlands,region,23/09/2021,72.3,3793,8
E12000004,East Midlands,region,22/09/2021,72.2,3003,15
E12000004,East Midlands,region,21/09/2021,72.1,2736,9
E12000004,East Midlands,region,20/09/2021,72.1,2950,19
E12000004,East Midlands,region,19/09/2021,72,2205,8
E12000004,East Midlands,region,18/09/2021,71.9,2434,5
E12000004,East Midlands,region,17/09/2021,71.8,2301,11
E12000004,East Midlands,region,16/09/2021,71.7,2438,9
E12000004,East Midlands,region,15/09/2021,71.6,2458,6
E12000004,East Midlands,region,14/09/2021,71.5,2295,13
E12000004,East Midlands,region,13/09/2021,71.5,1946,3
E12000004,East Midlands,region,12/09/2021,71.4,2074,15
E12000004,East Midlands,region,11/09/2021,71.3,2320,7
E12000004,East Midlands,region,10/09/2021,71.1,2970,10
