areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E92000001,England,nation,2021-11-14,,,29404,
E92000001,England,nation,2021-11-13,124435,70.7,33493,9
E92000001,England,nation,2021-11-12,124426,70.6,33155,39
E92000001,England,nation,2021-11-11,124387,70.6,35472,91
E92000001,England,nation,2021-11-10,124296,70.6,31541,109
E92000001,England,nation,2021-11-09,124187,70.5,27872,101
E92000001,England,nation,2021-11-08,124086,70.5,24979,123
E92000001,England,nation,2021-11-07,123963,70.5,23779,133
E92000001,England,nation,2021-11-06,123830,70.5,26250,131
E92000001,England,nation,2021-11-05,123699,70.4,28490,113
E92000001,England,nation,2021-11-04,123586,70.4,30166,114
E92000001,England,nation,2021-11-03,123472,70.3,34317,123
E92000001,England,nation,2021-11-02,123349,70.3,28531,126
E92000001,England,nation,2021-11-01,123223,70.3,32081,133
E92000001,England,nation,2021-10-31,123090,70.3,31479,149
E92000001,England,nation,2021-10-30,122941,70.2,36204,129
E92000001,England,nation,2021-10-29,122812,70.2,36853,127
E92000001,England,nation,2021-10-28,122685,70.2,33903,151
E92000001,England,nation,2021-10-27,122534,70.1,37502,131
E92000001,England,nation,2021-10-26,122403,70.1,32280,126
E92000001,England,nation,2021-10-25,122277,70.1,33309,114
E92000001,England,nation,2021-10-24,122163,70.0,33221,119
E92000001,England,nation,2021-10-23,122044,70.0,41259,130
E92000001,England,nation,2021-10-22,121914,69.9,41745,101
E92000001,England,nation,2021-10-21,121813,69.9,44363,109
E92000001,England,nation,2021-10-20,121704,69.9,41498,117
E92000001,England,nation,2021-10-19,121587,69.8,36712,103
E92000001,England,nation,2021-10-18,121484,69.8,39473,95
E92000001,England,nation,2021-10-17,121389,69.7,38543,102
E92000001,England,nation,2021-10-16,121287,69.7,39624,96
E92000001,England,nation,2021-10-15,121191,69.7,37691,105
E92000001,England,nation,2021-10-14,121086,69.6,38488,110
E92000001,England,nation,2021-10-13,120976,69.6,36458,88
E92000001,England,nation,2021-10-12,120888,69.5,33287,85
E92000001,England,nation,2021-10-11,120803,69.5,32349,91
E92000001,England,nation,2021-10-10,120712,69.4,31096,70
E92000001,England,nation,2021-10-09,120642,69.4,31259,90
E92000001,England,nation,2021-10-08,120552,69.4,32157,90
E92000001,England,nation,2021-10-07,120462,69.3,33305,90
E92000001,England,nation,2021-10-06,120372,69.3,33450,74
E92000001,England,nation,2021-10-05,120298,69.2,28846,86
E92000001,England,nation,2021-10-04,120212,69.2,28251,80
E92000001,England,nation,2021-10-03,120132,69.1,25176,75
