areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
N92000002,Northern Ireland,nation,2021-11-14,,,1377,
N92000002,Northern Ireland,nation,2021-11-13,2784,,1806,0
N92000002,Northern Ireland,nation,2021-11-12,2784,,1087,0
N92000002,Northern Ireland,nation,2021-11-11,2784,,1462,5
N92000002,Northern Ireland,nation,2021-11-10,2779,,1765,6
N92000002,Northern Ireland,nation,2021-11-09,2773,,1228,8
N92000002,Northern Ireland,nation,2021-11-08,2765,,1028,7
N92000002,Northern Ireland,nation,2021-11-07,2758,,1035,8
N92000002,Northern Ireland,nation,2021-11-06,2750,,1194,6
N92000002,Northern Ireland,nation,2021-11-05,2744,,1164,3
N92000002,Northern Ireland,nation,2021-11-04,2741,,1481,6
N92000002,Northern Ireland,nation,2021-11-03,2735,,995,12
N92000002,Northern Ireland,nation,2021-11-02,2723,,1114,8
N92000002,Northern Ireland,nation,2021-11-01,2715,,948,4
N92000002,Northern Ireland,nation,2021-10-31,2711,,1001,6
N92000002,Northern Ireland,nation,2021-10-30,2705,,1207,8
N92000002,Northern Ireland,nation,2021-10-29,2697,,1321,10
N92000002,Northern Ireland,nation,2021-10-28,2687,,1122,6
N92000002,Northern Ireland,nation,2021-10-27,2681,,1291,7
N92000002,Northern Ireland,nation,2021-10-26,2674,,1124,4
N92000002,Northern Ireland,nation,2021-10-25,2670,,1019,4
N92000002,Northern Ireland,nation,2021-10-24,2666,,1061,3
N92000002,Northern Ireland,nation,2021-10-23,2663,,1323,6
N92000002,Northern Ireland,nation,2021-10-22,2657,,1355,11
N92000002,Northern Ireland,nation,2021-10-21,2646,,1051,7
N92000002,Northern Ireland,nation,2021-10-20,2639,,1423,3
N92000002,Northern Ireland,nation,2021-10-19,2636,,1367,5
N92000002,Northern Ireland,nation,2021-10-18,2631,,1091,9
N92000002,Northern Ireland,nation,2021-10-17,2622,,966,2
N92000002,Northern Ireland,nation,2021-10-16,2620,,1218,6
N92000002,Northern Ireland,nation,2021-10-15,2614,,1349,4
N92000002,Northern Ireland,nation,2021-10-14,2610,,1304,5
N92000002,Northern Ireland,nation,2021-10-13,2605,,1471,5
N92000002,Northern Ireland,nation,2021-10-12,2600,,1278,3
N92000002,Northern Ireland,nation,2021-10-11,2597,,1109,5
N92000002,Northern Ireland,nation,2021-10-10,2592,,1115,2
N92000002,Northern Ireland,nation,2021-10-09,2590,,1274,5
N92000002,Northern Ireland,nation,2021-10-08,2585,,1276,4
N92000002,Northern Ireland,nation,2021-10-07,2581,,1305,3
N92000002,Northern Ireland,nation,2021-10-06,2578,,1339,2
N92000002,Northern Ireland,nation,2021-10-05,2576,,1209,3
N92000002,Northern Ireland,nation,2021-10-04,2573,,1080,3
N92000002,Northern Ireland,nation,2021-10-03,2570,,892,1
N92000002,Northern Ireland,nation,2021-10-02,2569,,992,4
N92000002,Northern Ireland,nation,2021-10-01,2565,,1039,2
N92000002,Northern Ireland,nation,2021-09-30,2563,,1163,5
N92000002,Northern Ireland,nation,2021-09-29,2558,,1320,3
N92000002,Northern Ireland,nation,2021-09-28,2555,,1078,3
N92000002,Northern Ireland,nation,2021-09-27,2552,,903,4
N92000002,Northern Ireland,nation,2021-09-26,2548,,1020,4
N92000002,Northern Ireland,nation,2021-09-25,2544,,1120,5
N92000002,Northern Ireland,nation,2021-09-24,2539,,1030,6
N92000002,Northern Ireland,nation,2021-09-23,2533,,1165,8
N92000002,Northern Ireland,nation,2021-09-22,2525,,1060,9
N92000002,Northern Ireland,nation,2021-09-21,2516,,1145,4
