areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
S92000003,Scotland,nation,2021-11-14,,,3077,
S92000003,Scotland,nation,2021-11-13,9389,82.1,3052,0
S92000003,Scotland,nation,2021-11-12,9389,82.0,3349,0
S92000003,Scotland,nation,2021-11-11,9389,82.0,3340,0
S92000003,Scotland,nation,2021-11-10,9389,82.0,3852,9
S92000003,Scotland,nation,2021-11-09,9380,81.9,2233,3
S92000003,Scotland,nation,2021-11-08,9377,81.9,2012,8
S92000003,Scotland,nation,2021-11-07,9369,81.9,2908,9
S92000003,Scotland,nation,2021-11-06,9360,81.9,3249,14
S92000003,Scotland,nation,2021-11-05,9346,81.8,2389,15
S92000003,Scotland,nation,2021-11-04,9331,81.8,2823,19
S92000003,Scotland,nation,2021-11-03,9312,81.8,3495,15
S92000003,Scotland,nation,2021-11-02,9297,81.7,2010,13
S92000003,Scotland,nation,2021-11-01,9284,81.7,2065,23
S92000003,Scotland,nation,2021-10-31,9261,81.7,2513,15
S92000003,Scotland,nation,2021-10-30,9246,81.7,3867,16
S92000003,Scotland,nation,2021-10-29,9230,81.6,2732,19
S92000003,Scotland,nation,2021-10-28,9211,81.6,2153,19
S92000003,Scotland,nation,2021-10-27,9192,81.5,2566,13
S92000003,Scotland,nation,2021-10-26,9179,81.5,2262,19
S92000003,Scotland,nation,2021-10-25,9160,81.5,2239,7
S92000003,Scotland,nation,2021-10-24,9153,81.4,2528,19
S92000003,Scotland,nation,2021-10-23,9134,81.4,2403,22
S92000003,Scotland,nation,2021-10-22,9112,81.3,2902,16
S92000003,Scotland,nation,2021-10-21,9096,81.3,2355,22
S92000003,Scotland,nation,2021-10-20,9074,81.3,2768,16
S92000003,Scotland,nation,2021-10-19,9058,81.2,2459,9
S92000003,Scotland,nation,2021-10-18,9049,81.2,2194,15
S92000003,Scotland,nation,2021-10-17,9034,81.1,2666,15
S92000003,Scotland,nation,2021-10-16,9019,81.1,2581,18
S92000003,Scotland,nation,2021-10-15,9001,81.1,2762,16
S92000003,Scotland,nation,2021-10-14,8985,81.0,2639,20
S92000003,Scotland,nation,2021-10-13,8965,81.0,2581,19
