areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000006,East of England,region,2021-11-14,,,3484,
E12000006,East of England,region,2021-11-13,14497,74.1,3902,0
E12000006,East of England,region,2021-11-12,14497,74.1,3655,5
E12000006,East of England,region,2021-11-11,14492,74.1,4161,8
E12000006,East of England,region,2021-11-10,14484,74.0,3292,14
E12000006,East of England,region,2021-11-09,14470,74.0,3180,13
E12000006,East of England,region,2021-11-08,14457,74.0,2883,13
E12000006,East of England,region,2021-11-07,14444,74.0,2536,9
E12000006,East of England,region,2021-11-06,14435,73.9,2958,9
E12000006,East of England,region,2021-11-05,14426,73.9,3020,8
E12000006,East of England,region,2021-11-04,14418,73.9,3448,8
E12000006,East of England,region,2021-11-03,14410,73.8,3803,19
E12000006,East of England,region,2021-11-02,14391,73.8,3439,12
E12000006,East of England,region,2021-11-01,14379,73.8,3986,13
E12000006,East of England,region,2021-10-31,14366,73.7,3816,14
E12000006,East of England,region,2021-10-30,14352,73.7,4267,14
E12000006,East of England,region,2021-10-29,14338,73.7,4074,21
E12000006,East of England,region,2021-10-28,14317,73.7,3995,15
E12000006,East of England,region,2021-10-27,14302,73.6,4520,16
E12000006,East of England,region,2021-10-26,14286,73.6,3967,12
E12000006,East of England,region,2021-10-25,14274,73.6,3891,17
E12000006,East of England,region,2021-10-24,14257,73.5,3618,17
E12000006,East of England,region,2021-10-23,14240,73.5,5353,15
E12000006,East of England,region,2021-10-22,14225,73.5,4796,9
E12000006,East of England,region,2021-10-21,14216,73.4,5592,10
E12000006,East of England,region,2021-10-20,14206,73.4,4752,9
E12000006,East of England,region,2021-10-19,14197,73.4,4330,15
E12000006,East of England,region,2021-10-18,14182,73.3,4936,9
E12000006,East of England,region,2021-10-17,14173,73.3,4110,8
E12000006,East of England,region,2021-10-16,14165,73.3,4677,12
E12000006,East of England,region,2021-10-15,14153,73.2,4068,10
E12000006,East of England,region,2021-10-14,14143,73.2,4385,5
E12000006,East of England,region,2021-10-13,14138,73.1,4161,6
E12000006,East of England,region,2021-10-12,14132,73.1,3878,7
E12000006,East of England,region,2021-10-11,14125,73.0,4097,7
E12000006,East of England,region,2021-10-10,14118,73.0,3543,3
E12000006,East of England,region,2021-10-09,14115,73.0,3537,6
E12000006,East of England,region,2021-10-08,14109,72.9,3633,9
E12000006,East of England,region,2021-10-07,14100,72.9,3958,5
E12000006,East of England,region,2021-10-06,14095,72.8,3636,8
E12000006,East of England,region,2021-10-05,14087,72.8,3229,9
E12000006,East of England,region,2021-10-04,14078,72.7,3224,6
E12000006,East of England,region,2021-10-03,14072,72.7,2573,6
E12000006,East of England,region,2021-10-02,14066,72.6,2632,5
E12000006,East of England,region,2021-10-01,14061,72.6,2822,7
E12000006,East of England,region,2021-09-30,14054,72.5,3410,5
E12000006,East of England,region,2021-09-29,14049,72.5,3009,5
E12000006,East of England,region,2021-09-28,14044,72.4,3389,4
E12000006,East of England,region,2021-09-27,14040,72.4,3438,4
E12000006,East of England,region,2021-09-26,14036,72.3,2655,5
E12000006,East of England,region,2021-09-25,14031,72.3,2763,2
E12000006,East of England,region,2021-09-24,14029,72.2,2588,7
E12000006,East of England,region,2021-09-23,14022,72.1,3205,7
E12000006,East of England,region,2021-09-22,14015,72.0,2442,11
E12000006,East of England,region,2021-09-21,14004,72.0,2525,11
E12000006,East of England,region,2021-09-20,13993,71.9,2995,8
E12000006,East of England,region,2021-09-19,13985,71.8,1997,16
E12000006,East of England,region,2021-09-18,13969,71.7,2295,13
E12000006,East of England,region,2021-09-17,13956,71.6,2217,16
E12000006,East of England,region,2021-09-16,13940,71.5,2386,15
E12000006,East of England,region,2021-09-15,13925,71.4,2274,7
E12000006,East of England,region,2021-09-14,13918,71.3,1956,11
E12000006,East of England,region,2021-09-13,13907,71.2,2192,7
E12000006,East of England,region,2021-09-12,13900,71.1,1914,12
E12000006,East of England,region,2021-09-11,13888,71.0,2329,16
E12000006,East of England,region,2021-09-10,13872,70.8,2566,9
E12000006,East of England,region,2021-09-09,13863,70.6,2813,3
E12000006,East of England,region,2021-09-08,13860,70.5,2875,14
E12000006,East of England,region,2021-09-07,13846,70.3,2545,12
E12000006,East of England,region,2021-09-06,13834,70.2,2841,10
E12000006,East of England,region,2021-09-05,13824,70.1,3009,12
E12000006,East of England,region,2021-09-04,13812,70.0,2674,14
E12000006,East of England,region,2021-09-03,13798,69.7,3597,16
E12000006,East of England,region,2021-09-02,13782,69.5,2187,8
E12000006,East of England,region,2021-09-01,13774,69.3,2662,10
E12000006,East of England,region,2021-08-31,13764,69.1,2048,11
E12000006,East of England,region,2021-08-30,13753,68.9,2147,6
E12000006,East of England,region,2021-08-29,13747,68.9,2197,12
E12000006,East of England,region,2021-08-28,13735,68.7,2278,3
E12000006,East of England,region,2021-08-27,13732,68.5,2596,9
E12000006,East of England,region,2021-08-26,13723,68.3,2784,16
E12000006,East of England,region,2021-08-25,13707,68.1,2697,11
E12000006,East of England,region,2021-08-24,13696,67.8,2064,8
E12000006,East of England,region,2021-08-23,13688,67.6,2273,4
E12000006,East of England,region,2021-08-22,13684,67.4,2707,9
E12000006,East of England,region,2021-08-21,13675,67.2,2583,10
E12000006,East of England,region,2021-08-20,13665,67.0,2848,8
E12000006,East of England,region,2021-08-19,13657,66.7,2431,9
E12000006,East of England,region,2021-08-18,13648,66.4,2496,8
E12000006,East of England,region,2021-08-17,13640,66.1,2267,8
E12000006,East of England,region,2021-08-16,13632,65.9,2221,10
E12000006,East of England,region,2021-08-15,13622,65.7,2002,9
E12000006,East of England,region,2021-08-14,13613,65.6,2402,7
E12000006,East of England,region,2021-08-13,13606,65.3,2804,9
E12000006,East of England,region,2021-08-12,13597,65.0,2861,9
E12000006,East of England,region,2021-08-11,13588,64.7,2500,6
E12000006,East of England,region,2021-08-10,13582,64.4,1909,6
E12000006,East of England,region,2021-08-09,13576,64.2,2084,6
E12000006,East of England,region,2021-08-08,13570,64.1,2167,7
E12000006,East of England,region,2021-08-07,13563,63.9,2399,10
E12000006,East of England,region,2021-08-06,13553,63.5,2718,6
E12000006,East of England,region,2021-08-05,13547,63.3,2572,2
E12000006,East of England,region,2021-08-04,13545,63.0,2678,4
E12000006,East of England,region,2021-08-03,13541,62.8,1820,5
E12000006,East of England,region,2021-08-02,13536,62.6,2060,6
E12000006,East of England,region,2021-08-01,13530,62.5,2084,2
E12000006,East of England,region,2021-07-31,13528,62.3,2074,8
E12000006,East of England,region,2021-07-30,13520,61.9,2462,5
E12000006,East of England,region,2021-07-29,13515,61.6,2637,2
E12000006,East of England,region,2021-07-28,13513,61.3,2276,5
E12000006,East of England,region,2021-07-27,13508,61.0,2004,5
E12000006,East of England,region,2021-07-26,13503,60.8,2078,5
E12000006,East of England,region,2021-07-25,13498,60.6,2378,3
E12000006,East of England,region,2021-07-24,13495,60.4,2816,8
E12000006,East of England,region,2021-07-23,13487,60.1,3081,6
E12000006,East of England,region,2021-07-22,13481,59.8,3186,3
E12000006,East of England,region,2021-07-21,13478,59.5,3729,2
E12000006,East of England,region,2021-07-20,13476,59.2,5784,6
E12000006,East of England,region,2021-07-19,13470,59.0,2249,3
E12000006,East of England,region,2021-07-18,13467,58.8,3829,4
E12000006,East of England,region,2021-07-17,13463,58.6,4508,3
E12000006,East of England,region,2021-07-16,13460,58.2,4186,0
E12000006,East of England,region,2021-07-15,13460,57.9,3921,2
E12000006,East of England,region,2021-07-14,13458,57.5,3182,1
E12000006,East of England,region,2021-07-13,13457,57.2,2833,1
E12000006,East of England,region,2021-07-12,13456,57.0,2211,2
E12000006,East of England,region,2021-07-11,13454,56.8,2097,1
E12000006,East of England,region,2021-07-10,13453,56.7,2386,3
E12000006,East of England,region,2021-07-09,13450,56.3,2500,1
E12000006,East of England,region,2021-07-08,13449,56.1,1919,4
E12000006,East of England,region,2021-07-07,13445,55.8,2155,1
E12000006,East of England,region,2021-07-06,13444,55.6,2285,2
E12000006,East of England,region,2021-07-05,13442,55.4,1703,2
E12000006,East of England,region,2021-07-04,13440,55.1,1451,0
E12000006,East of England,region,2021-07-03,13440,55.0,1326,0
E12000006,East of England,region,2021-07-02,13440,54.7,1359,1
E12000006,East of England,region,2021-07-01,13439,54.5,1502,0
E12000006,East of England,region,2021-06-30,13439,54.2,1022,1
E12000006,East of England,region,2021-06-29,13438,54.0,1051,0
E12000006,East of England,region,2021-06-28,13438,53.8,1150,0
E12000006,East of England,region,2021-06-27,13438,53.6,692,0
E12000006,East of England,region,2021-06-26,13438,53.4,742,1
E12000006,East of England,region,2021-06-25,13437,53.0,744,1
E12000006,East of England,region,2021-06-24,13436,52.8,730,0
E12000006,East of England,region,2021-06-23,13436,52.6,661,0
E12000006,East of England,region,2021-06-22,13436,52.4,442,1
E12000006,East of England,region,2021-06-21,13435,52.1,411,0
E12000006,East of England,region,2021-06-20,13435,51.9,421,2
E12000006,East of England,region,2021-06-19,13433,51.8,443,0
E12000006,East of England,region,2021-06-18,13433,51.4,429,0
