areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000004,East Midlands,region,2021-11-14,,,2519,
E12000004,East Midlands,region,2021-11-13,11283,74.3,3107,1
E12000004,East Midlands,region,2021-11-12,11282,74.2,2876,5
E12000004,East Midlands,region,2021-11-11,11277,74.2,3091,6
E12000004,East Midlands,region,2021-11-10,11271,74.2,2976,9
E12000004,East Midlands,region,2021-11-09,11262,74.1,2748,8
E12000004,East Midlands,region,2021-11-08,11254,74.1,2249,13
E12000004,East Midlands,region,2021-11-07,11241,74.1,2106,18
E12000004,East Midlands,region,2021-11-06,11223,74.1,2363,10
E12000004,East Midlands,region,2021-11-05,11213,74.0,2485,10
E12000004,East Midlands,region,2021-11-04,11203,74.0,2492,7
E12000004,East Midlands,region,2021-11-03,11196,74.0,2619,9
E12000004,East Midlands,region,2021-11-02,11187,73.9,2407,11
E12000004,East Midlands,region,2021-11-01,11176,73.9,2707,15
E12000004,East Midlands,region,2021-10-31,11161,73.9,2534,17
E12000004,East Midlands,region,2021-10-30,11144,73.9,3082,8
E12000004,East Midlands,region,2021-10-29,11136,73.8,3085,10
E12000004,East Midlands,region,2021-10-28,11126,73.8,2850,14
E12000004,East Midlands,region,2021-10-27,11112,73.8,3541,15
E12000004,East Midlands,region,2021-10-26,11097,73.7,2922,9
E12000004,East Midlands,region,2021-10-25,11088,73.7,2897,10
E12000004,East Midlands,region,2021-10-24,11078,73.7,2558,12
E12000004,East Midlands,region,2021-10-23,11066,73.6,3642,15
E12000004,East Midlands,region,2021-10-22,11051,73.6,3394,5
E12000004,East Midlands,region,2021-10-21,11046,73.5,3710,6
E12000004,East Midlands,region,2021-10-20,11040,73.5,3406,16
E12000004,East Midlands,region,2021-10-19,11024,73.5,2783,13
E12000004,East Midlands,region,2021-10-18,11011,73.4,3392,11
E12000004,East Midlands,region,2021-10-17,11000,73.4,3382,11
E12000004,East Midlands,region,2021-10-16,10989,73.4,3422,7
E12000004,East Midlands,region,2021-10-15,10982,73.3,3438,8
E12000004,East Midlands,region,2021-10-14,10974,73.3,3898,11
E12000004,East Midlands,region,2021-10-13,10963,73.2,3684,12
E12000004,East Midlands,region,2021-10-12,10951,73.2,3497,14
E12000004,East Midlands,region,2021-10-11,10937,73.2,3394,12
E12000004,East Midlands,region,2021-10-10,10925,73.1,3434,6
E12000004,East Midlands,region,2021-10-09,10919,73.1,3325,7
E12000004,East Midlands,region,2021-10-08,10912,73.0,3138,9
E12000004,East Midlands,region,2021-10-07,10903,73.0,3919,10
E12000004,East Midlands,region,2021-10-06,10893,72.9,3849,6
E12000004,East Midlands,region,2021-10-05,10887,72.9,3144,10
E12000004,East Midlands,region,2021-10-04,10877,72.9,2906,8
E12000004,East Midlands,region,2021-10-03,10869,72.8,2769,7
E12000004,East Midlands,region,2021-10-02,10862,72.8,3291,7
E12000004,East Midlands,region,2021-10-01,10855,72.7,3457,12
