areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000007,London,region,2021-11-14,,,3652,
E12000007,London,region,2021-11-13,16894,60.1,4088,5
E12000007,London,region,2021-11-12,16889,60.0,3590,2
E12000007,London,region,2021-11-11,16887,60.0,4136,8
E12000007,London,region,2021-11-10,16879,59.9,3471,11
E12000007,London,region,2021-11-09,16868,59.9,2845,6
E12000007,London,region,2021-11-08,16862,59.8,2735,15
E12000007,London,region,2021-11-07,16847,59.8,2736,10
E12000007,London,region,2021-11-06,16837,59.8,2950,13
E12000007,London,region,2021-11-05,16824,59.7,2993,11
E12000007,London,region,2021-11-04,16813,59.7,3115,12
E12000007,London,region,2021-11-03,16801,59.6,3720,10
E12000007,London,region,2021-11-02,16791,59.6,2935,14
E12000007,London,region,2021-11-01,16777,59.6,3322,11
E12000007,London,region,2021-10-31,16766,59.5,3014,12
E12000007,London,region,2021-10-30,16754,59.5,3555,10
E12000007,London,region,2021-10-29,16744,59.4,3615,9
E12000007,London,region,2021-10-28,16735,59.4,3473,11
E12000007,London,region,2021-10-27,16724,59.4,3801,17
E12000007,London,region,2021-10-26,16707,59.3,3225,9
E12000007,London,region,2021-10-25,16698,59.3,3118,12
E12000007,London,region,2021-10-24,16686,59.2,3279,9
E12000007,London,region,2021-10-23,16677,59.2,4435,7
E12000007,London,region,2021-10-22,16670,59.1,3928,12
E12000007,London,region,2021-10-21,16658,59.1,4342,9
E12000007,London,region,2021-10-20,16649,59.0,3648,7
E12000007,London,region,2021-10-19,16642,59.0,3317,9
E12000007,London,region,2021-10-18,16633,59.0,3806,10
E12000007,London,region,2021-10-17,16623,58.9,3448,12
E12000007,London,region,2021-10-16,16611,58.9,3485,7
E12000007,London,region,2021-10-15,16604,58.8,3301,5
E12000007,London,region,2021-10-14,16599,58.8,2947,12
E12000007,London,region,2021-10-13,16587,58.7,3271,6
E12000007,London,region,2021-10-12,16581,58.7,2748,4
E12000007,London,region,2021-10-11,16577,58.6,3050,9
E12000007,London,region,2021-10-10,16568,58.6,2855,8
E12000007,London,region,2021-10-09,16560,58.5,2589,11
E12000007,London,region,2021-10-08,16549,58.5,2942,9
E12000007,London,region,2021-10-07,16540,58.4,3077,6
E12000007,London,region,2021-10-06,16534,58.4,2890,10
E12000007,London,region,2021-10-05,16524,58.3,3135,11
E12000007,London,region,2021-10-04,16513,58.3,2665,9
E12000007,London,region,2021-10-03,16504,58.2,2274,6
E12000007,London,region,2021-10-02,16498,58.2,2344,12
E12000007,London,region,2021-10-01,16486,58.1,2195,16
E12000007,London,region,2021-09-30,16470,58.0,2439,13
E12000007,London,region,2021-09-29,16457,58.0,3072,13
E12000007,London,region,2021-09-28,16444,57.9,2831,13
E12000007,London,region,2021-09-27,16431,57.9,2960,16
E12000007,London,region,2021-09-26,16415,57.8,2260,6
E12000007,London,region,2021-09-25,16409,57.8,3074,10
E12000007,London,region,2021-09-24,16399,57.7,2783,13
E12000007,London,region,2021-09-23,16386,57.6,2494,14
E12000007,London,region,2021-09-22,16372,57.5,2593,11
E12000007,London,region,2021-09-21,16361,57.4,2450,8
E12000007,London,region,2021-09-20,16353,57.4,2647,7
