areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000002,North West,region,2021-11-14,,,3356,
E12000002,North West,region,2021-11-13,20126,71.4,3735,0
E12000002,North West,region,2021-11-12,20126,71.3,3708,5
E12000002,North West,region,2021-11-11,20121,71.3,4381,10
E12000002,North West,region,2021-11-10,20111,71.3,4297,20
E12000002,North West,region,2021-11-09,20091,71.2,3525,14
E12000002,North West,region,2021-11-08,20077,71.2,2963,26
E12000002,North West,region,2021-11-07,20051,71.1,2816,16
E12000002,North West,region,2021-11-06,20035,71.1,3482,32
E12000002,North West,region,2021-11-05,20003,71.1,3601,9
E12000002,North West,region,2021-11-04,19994,71.1,3771,23
E12000002,North West,region,2021-11-03,19971,71.0,4574,28
E12000002,North West,region,2021-11-02,19943,71.0,3626,15
E12000002,North West,region,2021-11-01,19928,71.0,3926,18
E12000002,North West,region,2021-10-31,19910,70.9,3863,25
E12000002,North West,region,2021-10-30,19885,70.9,4524,25
E12000002,North West,region,2021-10-29,19860,70.9,5141,19
E12000002,North West,region,2021-10-28,19841,70.8,3598,29
E12000002,North West,region,2021-10-27,19812,70.8,4408,15
E12000002,North West,region,2021-10-26,19797,70.8,3905,22
E12000002,North West,region,2021-10-25,19775,70.7,3879,20
E12000002,North West,region,2021-10-24,19755,70.7,3778,19
E12000002,North West,region,2021-10-23,19736,70.7,4559,20
E12000002,North West,region,2021-10-22,19716,70.6,5089,15
E12000002,North West,region,2021-10-21,19701,70.6,4993,26
E12000002,North West,region,2021-10-20,19675,70.6,5409,23
E12000002,North West,region,2021-10-19,19652,70.5,4482,14
E12000002,North West,region,2021-10-18,19638,70.5,4527,19
E12000002,North West,region,2021-10-17,19619,70.5,4260,20
E12000002,North West,region,2021-10-16,19599,70.4,4615,18
E12000002,North West,region,2021-10-15,19581,70.4,5295,19
E12000002,North West,region,2021-10-14,19562,70.3,5322,17
E12000002,North West,region,2021-10-13,19545,70.3,5100,15
E12000002,North West,region,2021-10-12,19530,70.2,5058,15
E12000002,North West,region,2021-10-11,19515,70.2,3998,14
E12000002,North West,region,2021-10-10,19501,70.2,4366,13
E12000002,North West,region,2021-10-09,19488,70.1,4325,20
E12000002,North West,region,2021-10-08,19468,70.1,4507,8
E12000002,North West,region,2021-10-07,19460,70.0,4743,17
E12000002,North West,region,2021-10-06,19443,70.0,5322,15
E12000002,North West,region,2021-10-05,19428,69.9,4061,13
E12000002,North West,region,2021-10-04,19415,69.9,3616,16
E12000002,North West,region,2021-10-03,19399,69.8,3376,16
E12000002,North West,region,2021-10-02,19383,69.8,3927,12
E12000002,North West,region,2021-10-01,19371,69.8,4169,19
E12000002,North West,region,2021-09-30,19352,69.7,4205,12
E12000002,North West,region,2021-09-29,19340,69.7,4225,9
E12000002,North West,region,2021-09-28,19331,69.6,3427,10
E12000002,North West,region,2021-09-27,19321,69.6,3279,6
E12000002,North West,region,2021-09-26,19315,69.5,3552,8
E12000002,North West,region,2021-09-25,19307,69.5,3622,16
E12000002,North West,region,2021-09-24,19291,69.4,3965,13
E12000002,North West,region,2021-09-23,19278,69.3,4444,22
E12000002,North West,region,2021-09-22,19256,69.3,4081,12
E12000002,North West,region,2021-09-21,19244,69.2,3519,13
E12000002,North West,region,2021-09-20,19231,69.1,3702,14
E12000002,North West,region,2021-09-19,19217,69.1,3138,16
E12000002,North West,region,2021-09-18,19201,69.0,3712,18
E12000002,North West,region,2021-09-17,19183,68.9,3877,19
E12000002,North West,region,2021-09-16,19164,68.8,3368,20
E12000002,North West,region,2021-09-15,19144,68.7,3222,20
E12000002,North West,region,2021-09-14,19124,68.6,3119,20
E12000002,North West,region,2021-09-13,19104,68.6,3361,13
E12000002,North West,region,2021-09-12,19091,68.5,2985,13
E12000002,North West,region,2021-09-11,19078,68.4,3411,20
E12000002,North West,region,2021-09-10,19058,68.3,3855,17
E12000002,North West,region,2021-09-09,19041,68.1,3951,21
E12000002,North West,region,2021-09-08,19020,68.0,4129,19
E12000002,North West,region,2021-09-07,19001,67.9,4505,23
E12000002,North West,region,2021-09-06,18978,67.8,3459,15
E12000002,North West,region,2021-09-05,18963,67.6,3462,20
E12000002,North West,region,2021-09-04,18943,67.6,4102,15
E12000002,North West,region,2021-09-03,18928,67.4,4477,16
E12000002,North West,region,2021-09-02,18912,67.3,3915,14
E12000002,North West,region,2021-09-01,18898,67.1,3309,11
E12000002,North West,region,2021-08-31,18887,67.0,3186,14
E12000002,North West,region,2021-08-30,18873,66.8,2606,11
E12000002,North West,region,2021-08-29,18862,66.7,3100,15
E12000002,North West,region,2021-08-28,18847,66.7,3444,13
E12000002,North West,region,2021-08-27,18834,66.5,3505,17
E12000002,North West,region,2021-08-26,18817,66.3,3898,15
E12000002,North West,region,2021-08-25,18802,66.1,3337,12
E12000002,North West,region,2021-08-24,18790,65.9,3275,20
