areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000008,South East,region,2021-11-14,,,5570,
E12000008,South East,region,2021-11-13,18548,75.2,5844,0
E12000008,South East,region,2021-11-12,18548,75.1,6261,6
E12000008,South East,region,2021-11-11,18542,75.1,6492,8
E12000008,South East,region,2021-11-10,18534,75.1,5473,16
E12000008,South East,region,2021-11-09,18518,75.0,4599,12
E12000008,South East,region,2021-11-08,18506,75.0,4568,16
E12000008,South East,region,2021-11-07,18490,75.0,4190,19
E12000008,South East,region,2021-11-06,18471,74.9,4215,16
E12000008,South East,region,2021-11-05,18455,74.9,4609,16
E12000008,South East,region,2021-11-04,18439,74.9,5151,13
E12000008,South East,region,2021-11-03,18426,74.8,5997,11
E12000008,South East,region,2021-11-02,18415,74.8,4918,18
E12000008,South East,region,2021-11-01,18397,74.8,5522,23
E12000008,South East,region,2021-10-31,18374,74.8,5595,18
E12000008,South East,region,2021-10-30,18356,74.7,6122,19
E12000008,South East,region,2021-10-29,18337,74.7,6424,16
E12000008,South East,region,2021-10-28,18321,74.7,6283,21
E12000008,South East,region,2021-10-27,18300,74.6,6446,15
E12000008,South East,region,2021-10-26,18285,74.6,5481,14
E12000008,South East,region,2021-10-25,18271,74.5,6258,11
E12000008,South East,region,2021-10-24,18260,74.5,6250,10
E12000008,South East,region,2021-10-23,18250,74.5,7365,13
E12000008,South East,region,2021-10-22,18237,74.4,7347,8
E12000008,South East,region,2021-10-21,18229,74.4,7704,10
E12000008,South East,region,2021-10-20,18219,74.4,7427,13
E12000008,South East,region,2021-10-19,18206,74.3,6498,13
E12000008,South East,region,2021-10-18,18193,74.3,6912,10
E12000008,South East,region,2021-10-17,18183,74.3,6867,10
E12000008,South East,region,2021-10-16,18173,74.2,6274,5
E12000008,South East,region,2021-10-15,18168,74.2,6017,14
E12000008,South East,region,2021-10-14,18154,74.1,5913,13
E12000008,South East,region,2021-10-13,18141,74.1,5766,9
E12000008,South East,region,2021-10-12,18132,74.0,4996,5
E12000008,South East,region,2021-10-11,18127,74.0,5372,10
E12000008,South East,region,2021-10-10,18117,74.0,4892,8
E12000008,South East,region,2021-10-09,18109,73.9,4782,7
E12000008,South East,region,2021-10-08,18102,73.9,4705,6
E12000008,South East,region,2021-10-07,18096,73.8,4715,12
E12000008,South East,region,2021-10-06,18084,73.8,5098,9
E12000008,South East,region,2021-10-05,18075,73.7,4641,7
E12000008,South East,region,2021-10-04,18068,73.7,4580,9
E12000008,South East,region,2021-10-03,18059,73.7,3773,10
E12000008,South East,region,2021-10-02,18049,73.6,3530,5
E12000008,South East,region,2021-10-01,18044,73.6,3148,5
E12000008,South East,region,2021-09-30,18039,73.5,4484,5
E12000008,South East,region,2021-09-29,18034,73.5,4168,12
E12000008,South East,region,2021-09-28,18022,73.4,4838,9
E12000008,South East,region,2021-09-27,18013,73.3,4318,9
E12000008,South East,region,2021-09-26,18004,73.3,3110,8
E12000008,South East,region,2021-09-25,17996,73.2,3451,8
E12000008,South East,region,2021-09-24,17988,73.2,4109,12
E12000008,South East,region,2021-09-23,17976,73.1,4039,10
E12000008,South East,region,2021-09-22,17966,73.0,3872,7
E12000008,South East,region,2021-09-21,17959,72.9,3396,15
E12000008,South East,region,2021-09-20,17944,72.8,3836,7
E12000008,South East,region,2021-09-19,17937,72.8,3025,5
E12000008,South East,region,2021-09-18,17932,72.7,2820,11
E12000008,South East,region,2021-09-17,17921,72.6,3030,15
E12000008,South East,region,2021-09-16,17906,72.5,3335,8
E12000008,South East,region,2021-09-15,17898,72.3,2918,12
E12000008,South East,region,2021-09-14,17886,72.2,2521,4
E12000008,South East,region,2021-09-13,17882,72.1,2714,11
E12000008,South East,region,2021-09-12,17871,72.0,2699,9
E12000008,South East,region,2021-09-11,17862,72.0,3077,17
E12000008,South East,region,2021-09-10,17845,71.8,3418,10
E12000008,South East,region,2021-09-09,17835,71.6,3526,17
E12000008,South East,region,2021-09-08,17818,71.5,4142,13
E12000008,South East,region,2021-09-07,17805,71.3,3689,16
E12000008,South East,region,2021-09-06,17789,71.2,3796,17
E12000008,South East,region,2021-09-05,17772,71.0,4407,14
E12000008,South East,region,2021-09-04,17758,70.9,4681,16
E12000008,South East,region,2021-09-03,17742,70.7,4474,13
E12000008,South East,region,2021-09-02,17729,70.5,4815,4
E12000008,South East,region,2021-09-01,17725,70.3,3783,5
E12000008,South East,region,2021-08-31,17720,70.1,2830,8
E12000008,South East,region,2021-08-30,17712,69.9,3257,8
E12000008,South East,region,2021-08-29,17704,69.8,3199,10
E12000008,South East,region,2021-08-28,17694,69.6,3711,11
E12000008,South East,region,2021-08-27,17683,69.4,3887,10
E12000008,South East,region,2021-08-26,17673,69.2,4564,10
E12000008,South East,region,2021-08-25,17663,68.9,3993,11
E12000008,South East,region,2021-08-24,17652,68.7,3462,13
E12000008,South East,region,2021-08-23,17639,68.4,3595,11
E12000008,South East,region,2021-08-22,17628,68.2,4213,12
E12000008,South East,region,2021-08-21,17616,68.1,4274,5
E12000008,South East,region,2021-08-20,17611,67.7,4619,11
E12000008,South East,region,2021-08-19,17600,67.4,4671,7
E12000008,South East,region,2021-08-18,17593,67.1,4511,9
E12000008,South East,region,2021-08-17,17584,66.8,3391,20
E12000008,South East,region,2021-08-16,17564,66.6,3346,7
E12000008,South East,region,2021-08-15,17557,66.4,3763,6
E12000008,South East,region,2021-08-14,17551,66.2,3957,1
E12000008,South East,region,2021-08-13,17550,65.8,4427,5
E12000008,South East,region,2021-08-12,17545,65.5,4268,5
E12000008,South East,region,2021-08-11,17540,65.2,3500,7
E12000008,South East,region,2021-08-10,17533,64.9,2948,1
E12000008,South East,region,2021-08-09,17532,64.7,3066,5
E12000008,South East,region,2021-08-08,17527,64.4,3345,5
E12000008,South East,region,2021-08-07,17522,64.2,3616,6
E12000008,South East,region,2021-08-06,17516,63.8,3945,12
E12000008,South East,region,2021-08-05,17504,63.6,3515,8
E12000008,South East,region,2021-08-04,17496,63.3,3620,3
E12000008,South East,region,2021-08-03,17493,63.1,2678,10
E12000008,South East,region,2021-08-02,17483,62.8,2491,9
E12000008,South East,region,2021-08-01,17474,62.6,2912,3
E12000008,South East,region,2021-07-31,17471,62.5,3214,8
E12000008,South East,region,2021-07-30,17463,62.1,3418,6
E12000008,South East,region,2021-07-29,17457,61.9,3715,12
E12000008,South East,region,2021-07-28,17445,61.6,3357,10
E12000008,South East,region,2021-07-27,17435,61.3,2666,3
E12000008,South East,region,2021-07-26,17432,61.1,2850,7
E12000008,South East,region,2021-07-25,17425,60.9,3384,9
E12000008,South East,region,2021-07-24,17416,60.7,3451,5
E12000008,South East,region,2021-07-23,17411,60.4,4533,5
E12000008,South East,region,2021-07-22,17406,60.0,5036,2
E12000008,South East,region,2021-07-21,17404,59.7,5194,5
E12000008,South East,region,2021-07-20,17399,59.4,6372,3
E12000008,South East,region,2021-07-19,17396,59.1,4545,6
E12000008,South East,region,2021-07-18,17390,58.9,5657,1
E12000008,South East,region,2021-07-17,17389,58.7,6346,4
E12000008,South East,region,2021-07-16,17385,58.3,6194,3
E12000008,South East,region,2021-07-15,17382,57.9,5890,6
E12000008,South East,region,2021-07-14,17376,57.6,4650,2
E12000008,South East,region,2021-07-13,17374,57.3,4127,2
E12000008,South East,region,2021-07-12,17372,57.0,3994,4
E12000008,South East,region,2021-07-11,17368,56.8,3380,1
E12000008,South East,region,2021-07-10,17367,56.6,3360,2
E12000008,South East,region,2021-07-09,17365,56.2,3084,4
E12000008,South East,region,2021-07-08,17361,56.0,2806,3
E12000008,South East,region,2021-07-07,17358,55.7,3075,1
E12000008,South East,region,2021-07-06,17357,55.5,3102,1
E12000008,South East,region,2021-07-05,17356,55.3,2632,4
E12000008,South East,region,2021-07-04,17352,55.1,2432,1
E12000008,South East,region,2021-07-03,17351,54.9,2358,2
E12000008,South East,region,2021-07-02,17349,54.5,2445,1
E12000008,South East,region,2021-07-01,17348,54.2,2725,1
E12000008,South East,region,2021-06-30,17347,53.9,2270,0
E12000008,South East,region,2021-06-29,17347,53.7,1911,0
E12000008,South East,region,2021-06-28,17347,53.5,2068,0
E12000008,South East,region,2021-06-27,17347,53.3,1219,0
E12000008,South East,region,2021-06-26,17347,53.1,1487,1
E12000008,South East,region,2021-06-25,17346,52.7,1237,3
E12000008,South East,region,2021-06-24,17343,52.5,1231,1
E12000008,South East,region,2021-06-23,17342,52.3,1118,0
E12000008,South East,region,2021-06-22,17342,52.0,817,1
E12000008,South East,region,2021-06-21,17341,51.8,818,0
E12000008,South East,region,2021-06-20,17341,51.6,729,0
E12000008,South East,region,2021-06-19,17341,51.4,802,1
E12000008,South East,region,2021-06-18,17340,51.1,882,1
