areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000009,South West,region,2021-11-14,,,3623,
E12000009,South West,region,2021-11-13,7824,77.9,4035,0
E12000009,South West,region,2021-11-12,7824,77.8,4039,4
E12000009,South West,region,2021-11-11,7820,77.8,4430,10
E12000009,South West,region,2021-11-10,7810,77.8,4217,10
E12000009,South West,region,2021-11-09,7800,77.7,3387,16
E12000009,South West,region,2021-11-08,7784,77.7,3166,11
E12000009,South West,region,2021-11-07,7773,77.7,2879,12
E12000009,South West,region,2021-11-06,7761,77.7,2981,13
E12000009,South West,region,2021-11-05,7748,77.6,3549,15
E12000009,South West,region,2021-11-04,7733,77.6,3497,9
E12000009,South West,region,2021-11-03,7724,77.6,4346,14
E12000009,South West,region,2021-11-02,7710,77.5,3586,13
E12000009,South West,region,2021-11-01,7697,77.5,4096,10
E12000009,South West,region,2021-10-31,7687,77.5,3981,13
E12000009,South West,region,2021-10-30,7674,77.5,4745,8
E12000009,South West,region,2021-10-29,7666,77.4,4203,17
E12000009,South West,region,2021-10-28,7649,77.4,4780,15
E12000009,South West,region,2021-10-27,7634,77.4,5241,13
E12000009,South West,region,2021-10-26,7621,77.3,4177,22
E12000009,South West,region,2021-10-25,7599,77.3,4863,6
E12000009,South West,region,2021-10-24,7593,77.3,4832,8
E12000009,South West,region,2021-10-23,7585,77.2,6131,21
E12000009,South West,region,2021-10-22,7564,77.2,6050,12
E12000009,South West,region,2021-10-21,7552,77.2,6165,12
E12000009,South West,region,2021-10-20,7540,77.1,5991,4
E12000009,South West,region,2021-10-19,7536,77.1,5619,7
E12000009,South West,region,2021-10-18,7529,77.0,5845,11
E12000009,South West,region,2021-10-17,7518,77.0,6751,8
E12000009,South West,region,2021-10-16,7510,77.0,6604,8
E12000009,South West,region,2021-10-15,7502,76.9,4870,10
E12000009,South West,region,2021-10-14,7492,76.9,5059,13
E12000009,South West,region,2021-10-13,7479,76.8,3330,8
E12000009,South West,region,2021-10-12,7471,76.8,2819,6
E12000009,South West,region,2021-10-11,7465,76.7,3171,7
E12000009,South West,region,2021-10-10,7458,76.7,2504,6
E12000009,South West,region,2021-10-09,7452,76.7,2626,7
E12000009,South West,region,2021-10-08,7445,76.6,2769,5
E12000009,South West,region,2021-10-07,7440,76.6,2784,9
E12000009,South West,region,2021-10-06,7431,76.5,1975,6
E12000009,South West,region,2021-10-05,7425,76.5,2170,7
E12000009,South West,region,2021-10-04,7418,76.4,2434,12
E12000009,South West,region,2021-10-03,7406,76.4,2349,5
E12000009,South West,region,2021-10-02,7401,76.3,2369,11
E12000009,South West,region,2021-10-01,7390,76.3,2578,9
E12000009,South West,region,2021-09-30,7381,76.2,2515,9
E12000009,South West,region,2021-09-29,7372,76.2,2229,6
E12000009,South West,region,2021-09-28,7366,76.1,2654,5
E12000009,South West,region,2021-09-27,7361,76.1,2982,10
E12000009,South West,region,2021-09-26,7351,76.0,2686,8
E12000009,South West,region,2021-09-25,7343,76.0,2674,11
E12000009,South West,region,2021-09-24,7332,75.9,2572,6
E12000009,South West,region,2021-09-23,7326,75.8,1691,9
E12000009,South West,region,2021-09-22,7317,75.7,1763,10
E12000009,South West,region,2021-09-21,7307,75.7,2590,5
E12000009,South West,region,2021-09-20,7302,75.6,2519,6
E12000009,South West,region,2021-09-19,7296,75.5,2071,7
E12000009,South West,region,2021-09-18,7289,75.5,1752,7
E12000009,South West,region,2021-09-17,7282,75.3,1767,12
E12000009,South West,region,2021-09-16,7270,75.2,1407,10
E12000009,South West,region,2021-09-15,7260,75.1,1610,7
E12000009,South West,region,2021-09-14,7253,75.0,1403,13
E12000009,South West,region,2021-09-13,7240,74.9,1359,7
E12000009,South West,region,2021-09-12,7233,74.8,1573,5
E12000009,South West,region,2021-09-11,7228,74.7,2277,9
E12000009,South West,region,2021-09-10,7219,74.5,1799,7
E12000009,South West,region,2021-09-09,7212,74.3,1963,11
E12000009,South West,region,2021-09-08,7201,74.1,3096,13
E12000009,South West,region,2021-09-07,7188,73.9,2660,8
E12000009,South West,region,2021-09-06,7180,73.8,2608,18
E12000009,South West,region,2021-09-05,7162,73.6,3135,10
E12000009,South West,region,2021-09-04,7152,73.5,3316,5
E12000009,South West,region,2021-09-03,7147,73.2,3626,11
E12000009,South West,region,2021-09-02,7136,73.0,3347,12
E12000009,South West,region,2021-09-01,7124,72.7,2414,10
E12000009,South West,region,2021-08-31,7114,72.5,2227,7
E12000009,South West,region,2021-08-30,7107,72.3,2205,9
E12000009,South West,region,2021-08-29,7098,72.2,3003,16
E12000009,South West,region,2021-08-28,7082,72.1,3168,10
E12000009,South West,region,2021-08-27,7072,71.9,3209,5
E12000009,South West,region,2021-08-26,7067,71.6,3970,15
E12000009,South West,region,2021-08-25,7052,71.3,3257,8
E12000009,South West,region,2021-08-24,7044,71.0,2785,9
E12000009,South West,region,2021-08-23,7035,70.8,3319,9
E12000009,South West,region,2021-08-22,7026,70.5,3397,10
E12000009,South West,region,2021-08-21,7016,70.3,4016,10
E12000009,South West,region,2021-08-20,7006,69.9,4817,8
E12000009,South West,region,2021-08-19,6998,69.6,5210,12
E12000009,South West,region,2021-08-18,6986,69.3,4027,9
E12000009,South West,region,2021-08-17,6977,68.9,2679,9
E12000009,South West,region,2021-08-16,6968,68.7,2477,4
E12000009,South West,region,2021-08-15,6964,68.5,2595,3
E12000009,South West,region,2021-08-14,6961,68.3,2971,5
E12000009,South West,region,2021-08-13,6956,67.9,3223,6
E12000009,South West,region,2021-08-12,6950,67.6,3110,6
E12000009,South West,region,2021-08-11,6944,67.3,3112,1
E12000009,South West,region,2021-08-10,6943,66.9,2202,3
E12000009,South West,region,2021-08-09,6940,66.7,2604,6
E12000009,South West,region,2021-08-08,6934,66.4,2695,6
E12000009,South West,region,2021-08-07,6928,66.3,2879,6
E12000009,South West,region,2021-08-06,6922,65.9,3177,7
E12000009,South West,region,2021-08-05,6915,65.6,3047,4
E12000009,South West,region,2021-08-04,6911,65.3,2721,4
E12000009,South West,region,2021-08-03,6907,65.1,1939,5
E12000009,South West,region,2021-08-02,6902,64.9,2069,4
E12000009,South West,region,2021-08-01,6898,64.7,2328,9
E12000009,South West,region,2021-07-31,6889,64.5,2526,3
E12000009,South West,region,2021-07-30,6886,64.2,2977,6
E12000009,South West,region,2021-07-29,6880,63.9,2817,2
E12000009,South West,region,2021-07-28,6878,63.7,2709,7
E12000009,South West,region,2021-07-27,6871,63.4,2164,4
E12000009,South West,region,2021-07-26,6867,63.2,2003,2
E12000009,South West,region,2021-07-25,6865,63.0,2518,5
E12000009,South West,region,2021-07-24,6860,62.8,2626,3
E12000009,South West,region,2021-07-23,6857,62.5,2745,10
E12000009,South West,region,2021-07-22,6847,62.3,3777,5
E12000009,South West,region,2021-07-21,6842,62.0,3533,1
E12000009,South West,region,2021-07-20,6841,61.7,4259,1
E12000009,South West,region,2021-07-19,6840,61.5,3960,3
E12000009,South West,region,2021-07-18,6837,61.3,4925,3
E12000009,South West,region,2021-07-17,6834,61.1,4703,7
E12000009,South West,region,2021-07-16,6827,60.7,3978,0
E12000009,South West,region,2021-07-15,6827,60.5,4426,1
E12000009,South West,region,2021-07-14,6826,60.1,3346,3
E12000009,South West,region,2021-07-13,6823,59.9,2816,0
E12000009,South West,region,2021-07-12,6823,59.7,2953,6
E12000009,South West,region,2021-07-11,6817,59.5,2125,2
E12000009,South West,region,2021-07-10,6815,59.4,2274,1
E12000009,South West,region,2021-07-09,6814,59.1,2511,1
E12000009,South West,region,2021-07-08,6813,58.9,2105,0
E12000009,South West,region,2021-07-07,6813,58.6,2009,0
E12000009,South West,region,2021-07-06,6813,58.4,1816,1
E12000009,South West,region,2021-07-05,6812,58.2,1702,0
E12000009,South West,region,2021-07-04,6812,58.0,1487,1
E12000009,South West,region,2021-07-03,6811,57.9,1664,1
E12000009,South West,region,2021-07-02,6810,57.6,1944,2
E12000009,South West,region,2021-07-01,6808,57.4,1767,2
E12000009,South West,region,2021-06-30,6806,57.1,1615,0
E12000009,South West,region,2021-06-29,6806,56.8,1210,2
E12000009,South West,region,2021-06-28,6804,56.6,1508,0
E12000009,South West,region,2021-06-27,6804,56.5,799,1
E12000009,South West,region,2021-06-26,6803,56.4,1019,1
E12000009,South West,region,2021-06-25,6802,56.1,1051,1
E12000009,South West,region,2021-06-24,6801,55.9,1224,1
E12000009,South West,region,2021-06-23,6800,55.8,993,0
E12000009,South West,region,2021-06-22,6800,55.6,688,0
E12000009,South West,region,2021-06-21,6800,55.5,746,0
E12000009,South West,region,2021-06-20,6800,55.4,759,1
E12000009,South West,region,2021-06-19,6799,55.3,739,0
E12000009,South West,region,2021-06-18,6799,54.9,810,0
E12000009,South West,region,2021-06-17,6799,54.8,837,0
E12000009,South West,region,2021-06-16,6799,54.5,610,0
E12000009,South West,region,2021-06-15,6799,54.2,539,0
E12000009,South West,region,2021-06-14,6799,54.0,503,0
E12000009,South West,region,2021-06-13,6799,53.8,507,0
E12000009,South West,region,2021-06-12,6799,53.5,396,0
E12000009,South West,region,2021-06-11,6799,53.0,400,0
E12000009,South West,region,2021-06-10,6799,52.6,384,0
E12000009,South West,region,2021-06-09,6799,52.2,275,0
E12000009,South West,region,2021-06-08,6799,51.7,262,0
E12000009,South West,region,2021-06-07,6799,51.2,202,1
E12000009,South West,region,2021-06-06,6798,50.8,190,0
E12000009,South West,region,2021-06-05,6798,50.4,164,0
E12000009,South West,region,2021-06-04,6798,49.5,215,0
E12000009,South West,region,2021-06-03,6798,48.7,132,0
E12000009,South West,region,2021-06-02,6798,48.1,128,0
E12000009,South West,region,2021-06-01,6798,47.5,88,0
E12000009,South West,region,2021-05-31,6798,47.0,64,0
E12000009,South West,region,2021-05-30,6798,46.8,66,0
E12000009,South West,region,2021-05-29,6798,46.5,81,0
E12000009,South West,region,2021-05-28,6798,45.7,92,0
E12000009,South West,region,2021-05-27,6798,44.8,65,0
E12000009,South West,region,2021-05-26,6798,44.0,75,0
E12000009,South West,region,2021-05-25,6798,43.1,69,0
E12000009,South West,region,2021-05-24,6798,42.4,75,0
E12000009,South West,region,2021-05-23,6798,42.0,46,0
E12000009,South West,region,2021-05-22,6798,41.6,88,0
E12000009,South West,region,2021-05-21,6798,40.3,86,1
E12000009,South West,region,2021-05-20,6797,39.6,63,0
E12000009,South West,region,2021-05-19,6797,38.8,54,1
E12000009,South West,region,2021-05-18,6796,38.0,0,0
