areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000005,West Midlands,region,2021-11-14,,,2441,
E12000005,West Midlands,region,2021-11-13,14956,70.6,3392,2
E12000005,West Midlands,region,2021-11-12,14954,70.6,3100,4
E12000005,West Midlands,region,2021-11-11,14950,70.5,3181,17
E12000005,West Midlands,region,2021-11-10,14933,70.5,3233,9
E12000005,West Midlands,region,2021-11-09,14924,70.5,3114,11
E12000005,West Midlands,region,2021-11-08,14913,70.4,2460,12
E12000005,West Midlands,region,2021-11-07,14901,70.4,2388,18
E12000005,West Midlands,region,2021-11-06,14883,70.4,2785,10
E12000005,West Midlands,region,2021-11-05,14873,70.3,2839,16
E12000005,West Midlands,region,2021-11-04,14857,70.3,3001,12
E12000005,West Midlands,region,2021-11-03,14845,70.3,3653,8
E12000005,West Midlands,region,2021-11-02,14837,70.2,2724,15
E12000005,West Midlands,region,2021-11-01,14822,70.2,3137,14
E12000005,West Midlands,region,2021-10-31,14808,70.2,3381,15
E12000005,West Midlands,region,2021-10-30,14793,70.1,3370,15
E12000005,West Midlands,region,2021-10-29,14778,70.1,3699,13
E12000005,West Midlands,region,2021-10-28,14765,70.1,3046,19
E12000005,West Midlands,region,2021-10-27,14746,70.0,3817,10
E12000005,West Midlands,region,2021-10-26,14736,70.0,3038,21
E12000005,West Midlands,region,2021-10-25,14715,70.0,3465,13
E12000005,West Midlands,region,2021-10-24,14702,69.9,2838,14
E12000005,West Midlands,region,2021-10-23,14688,69.9,3698,15
E12000005,West Midlands,region,2021-10-22,14673,69.8,4295,13
E12000005,West Midlands,region,2021-10-21,14660,69.8,4897,9
E12000005,West Midlands,region,2021-10-20,14651,69.8,4255,15
E12000005,West Midlands,region,2021-10-19,14636,69.7,3551,11
E12000005,West Midlands,region,2021-10-18,14625,69.7,4206,12
E12000005,West Midlands,region,2021-10-17,14613,69.7,3864,14
E12000005,West Midlands,region,2021-10-16,14599,69.6,4565,14
E12000005,West Midlands,region,2021-10-15,14585,69.6,4009,14
E12000005,West Midlands,region,2021-10-14,14571,69.5,3605,13
E12000005,West Midlands,region,2021-10-13,14558,69.5,3872,6
E12000005,West Midlands,region,2021-10-12,14552,69.4,3958,14
E12000005,West Midlands,region,2021-10-11,14538,69.4,3372,10
E12000005,West Midlands,region,2021-10-10,14528,69.4,3221,7
E12000005,West Midlands,region,2021-10-09,14521,69.3,3885,8
E12000005,West Midlands,region,2021-10-08,14513,69.2,3798,16
E12000005,West Midlands,region,2021-10-07,14497,69.2,3563,8
E12000005,West Midlands,region,2021-10-06,14489,69.1,3981,12
E12000005,West Midlands,region,2021-10-05,14477,69.1,3103,11
E12000005,West Midlands,region,2021-10-04,14466,69.1,3514,9
E12000005,West Midlands,region,2021-10-03,14457,69.0,3288,4
E12000005,West Midlands,region,2021-10-02,14453,69.0,3416,10
E12000005,West Midlands,region,2021-10-01,14443,68.9,4203,11
E12000005,West Midlands,region,2021-09-30,14432,68.9,3481,7
E12000005,West Midlands,region,2021-09-29,14425,68.8,3016,7
E12000005,West Midlands,region,2021-09-28,14418,68.8,3590,13
E12000005,West Midlands,region,2021-09-27,14405,68.7,3619,12
E12000005,West Midlands,region,2021-09-26,14393,68.7,3324,5
E12000005,West Midlands,region,2021-09-25,14388,68.6,3534,15
E12000005,West Midlands,region,2021-09-24,14373,68.6,3954,9
E12000005,West Midlands,region,2021-09-23,14364,68.5,2979,10
E12000005,West Midlands,region,2021-09-22,14354,68.4,3549,9
E12000005,West Midlands,region,2021-09-21,14345,68.3,3288,13
E12000005,West Midlands,region,2021-09-20,14332,68.3,3090,10
E12000005,West Midlands,region,2021-09-19,14322,68.2,2741,6
E12000005,West Midlands,region,2021-09-18,14316,68.1,2969,14
E12000005,West Midlands,region,2021-09-17,14302,68.0,2836,17
E12000005,West Midlands,region,2021-09-16,14285,67.9,2885,9
E12000005,West Midlands,region,2021-09-15,14276,67.8,2427,15
E12000005,West Midlands,region,2021-09-14,14261,67.7,2454,15
E12000005,West Midlands,region,2021-09-13,14246,67.6,2472,11
E12000005,West Midlands,region,2021-09-12,14235,67.5,2236,18
E12000005,West Midlands,region,2021-09-11,14217,67.4,2770,10
E12000005,West Midlands,region,2021-09-10,14207,67.3,3005,15
E12000005,West Midlands,region,2021-09-09,14192,67.1,3299,14
E12000005,West Midlands,region,2021-09-08,14178,67.0,3061,15
E12000005,West Midlands,region,2021-09-07,14163,66.9,3115,19
E12000005,West Midlands,region,2021-09-06,14144,66.7,2902,10
E12000005,West Midlands,region,2021-09-05,14134,66.6,2653,11
E12000005,West Midlands,region,2021-09-04,14123,66.5,2953,12
E12000005,West Midlands,region,2021-09-03,14111,66.3,3937,13
E12000005,West Midlands,region,2021-09-02,14098,66.1,2740,18
E12000005,West Midlands,region,2021-09-01,14080,65.9,2748,20
E12000005,West Midlands,region,2021-08-31,14060,65.7,2332,10
E12000005,West Midlands,region,2021-08-30,14050,65.5,2465,18
E12000005,West Midlands,region,2021-08-29,14032,65.5,2527,13
E12000005,West Midlands,region,2021-08-28,14019,65.3,2396,17
E12000005,West Midlands,region,2021-08-27,14002,65.1,3174,19
E12000005,West Midlands,region,2021-08-26,13983,64.9,3237,12
E12000005,West Midlands,region,2021-08-25,13971,64.6,2694,14
E12000005,West Midlands,region,2021-08-24,13957,64.4,2494,12
E12000005,West Midlands,region,2021-08-23,13945,64.2,2505,15
E12000005,West Midlands,region,2021-08-22,13930,64.0,2921,17
