areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000003,Yorkshire and The Humber,region,2021-11-14,,,2715,
E12000003,Yorkshire and The Humber,region,2021-11-13,12636,72.8,3005,1
E12000003,Yorkshire and The Humber,region,2021-11-12,12635,72.7,2750,6
E12000003,Yorkshire and The Humber,region,2021-11-11,12629,72.7,3687,10
E12000003,Yorkshire and The Humber,region,2021-11-10,12619,72.7,2815,12
E12000003,Yorkshire and The Humber,region,2021-11-09,12607,72.6,2432,12
E12000003,Yorkshire and The Humber,region,2021-11-08,12595,72.6,2434,7
E12000003,Yorkshire and The Humber,region,2021-11-07,12588,72.6,2388,19
E12000003,Yorkshire and The Humber,region,2021-11-06,12569,72.5,2486,18
E12000003,Yorkshire and The Humber,region,2021-11-05,12551,72.5,3121,12
E12000003,Yorkshire and The Humber,region,2021-11-04,12539,72.5,3280,22
E12000003,Yorkshire and The Humber,region,2021-11-03,12517,72.4,3265,13
E12000003,Yorkshire and The Humber,region,2021-11-02,12504,72.4,2752,17
E12000003,Yorkshire and The Humber,region,2021-11-01,12487,72.4,3085,19
E12000003,Yorkshire and The Humber,region,2021-10-31,12468,72.4,3158,19
E12000003,Yorkshire and The Humber,region,2021-10-30,12449,72.3,3872,20
E12000003,Yorkshire and The Humber,region,2021-10-29,12429,72.3,4025,16
E12000003,Yorkshire and The Humber,region,2021-10-28,12413,72.3,2926,18
E12000003,Yorkshire and The Humber,region,2021-10-27,12395,72.2,3429,21
E12000003,Yorkshire and The Humber,region,2021-10-26,12374,72.2,3182,9
E12000003,Yorkshire and The Humber,region,2021-10-25,12365,72.2,2904,19
E12000003,Yorkshire and The Humber,region,2021-10-24,12346,72.1,3025,16
E12000003,Yorkshire and The Humber,region,2021-10-23,12330,72.1,3533,19
E12000003,Yorkshire and The Humber,region,2021-10-22,12311,72.1,3997,19
E12000003,Yorkshire and The Humber,region,2021-10-21,12292,72.0,3934,16
E12000003,Yorkshire and The Humber,region,2021-10-20,12276,72.0,4049,24
E12000003,Yorkshire and The Humber,region,2021-10-19,12252,72.0,3450,7
E12000003,Yorkshire and The Humber,region,2021-10-18,12245,71.9,3546,9
E12000003,Yorkshire and The Humber,region,2021-10-17,12236,71.9,3759,12
E12000003,Yorkshire and The Humber,region,2021-10-16,12224,71.9,3427,20
E12000003,Yorkshire and The Humber,region,2021-10-15,12204,71.8,4147,17
E12000003,Yorkshire and The Humber,region,2021-10-14,12187,71.8,4500,17
E12000003,Yorkshire and The Humber,region,2021-10-13,12170,71.7,4102,19
E12000003,Yorkshire and The Humber,region,2021-10-12,12151,71.7,3458,13
E12000003,Yorkshire and The Humber,region,2021-10-11,12138,71.6,3695,15
E12000003,Yorkshire and The Humber,region,2021-10-10,12123,71.6,3567,15
E12000003,Yorkshire and The Humber,region,2021-10-09,12108,71.6,3418,17
E12000003,Yorkshire and The Humber,region,2021-10-08,12091,71.5,3772,18
E12000003,Yorkshire and The Humber,region,2021-10-07,12073,71.5,3729,15
E12000003,Yorkshire and The Humber,region,2021-10-06,12058,71.4,3965,5
E12000003,Yorkshire and The Humber,region,2021-10-05,12053,71.4,2989,8
E12000003,Yorkshire and The Humber,region,2021-10-04,12045,71.3,3057,7
E12000003,Yorkshire and The Humber,region,2021-10-03,12038,71.3,2846,14
E12000003,Yorkshire and The Humber,region,2021-10-02,12024,71.2,2896,5
E12000003,Yorkshire and The Humber,region,2021-10-01,12019,71.2,3719,12
E12000003,Yorkshire and The Humber,region,2021-09-30,12007,71.1,3829,14
E12000003,Yorkshire and The Humber,region,2021-09-29,11993,71.1,3331,13
E12000003,Yorkshire and The Humber,region,2021-09-28,11980,71.0,3260,7
E12000003,Yorkshire and The Humber,region,2021-09-27,11973,71.0,3485,6
E12000003,Yorkshire and The Humber,region,2021-09-26,11967,70.9,3153,6
E12000003,Yorkshire and The Humber,region,2021-09-25,11961,70.9,3183,15
E12000003,Yorkshire and The Humber,region,2021-09-24,11946,70.8,3634,14
E12000003,Yorkshire and The Humber,region,2021-09-23,11932,70.7,3824,11
E12000003,Yorkshire and The Humber,region,2021-09-22,11921,70.6,3456,12
E12000003,Yorkshire and The Humber,region,2021-09-21,11909,70.6,2632,12
E12000003,Yorkshire and The Humber,region,2021-09-20,11897,70.5,3210,16
E12000003,Yorkshire and The Humber,region,2021-09-19,11881,70.5,2604,15
E12000003,Yorkshire and The Humber,region,2021-09-18,11866,70.4,2707,9
E12000003,Yorkshire and The Humber,region,2021-09-17,11857,70.3,2456,14
E12000003,Yorkshire and The Humber,region,2021-09-16,11843,70.2,2521,14
E12000003,Yorkshire and The Humber,region,2021-09-15,11829,70.1,2455,9
E12000003,Yorkshire and The Humber,region,2021-09-14,11820,69.9,2106,13
E12000003,Yorkshire and The Humber,region,2021-09-13,11807,69.9,2602,10
E12000003,Yorkshire and The Humber,region,2021-09-12,11797,69.8,2351,17
E12000003,Yorkshire and The Humber,region,2021-09-11,11780,69.7,2405,9
E12000003,Yorkshire and The Humber,region,2021-09-10,11771,69.5,3031,20
E12000003,Yorkshire and The Humber,region,2021-09-09,11751,69.4,2908,22
E12000003,Yorkshire and The Humber,region,2021-09-08,11729,69.2,3481,15
E12000003,Yorkshire and The Humber,region,2021-09-07,11714,69.1,3084,12
E12000003,Yorkshire and The Humber,region,2021-09-06,11702,69.0,3614,17
E12000003,Yorkshire and The Humber,region,2021-09-05,11685,68.9,2351,18
E12000003,Yorkshire and The Humber,region,2021-09-04,11667,68.7,3090,22
E12000003,Yorkshire and The Humber,region,2021-09-03,11645,68.5,3046,17
E12000003,Yorkshire and The Humber,region,2021-09-02,11628,68.3,3430,13
