areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,newCasesByPublishDate,newDeaths28DaysByDeathDate
E12000007,London,region,14/11/2021,,,3652,
E12000007,London,region,13/11/2021,16894,60.1,4088,5
E12000007,London,region,12/11/2021,16889,60,3590,2
E12000007,London,region,11/11/2021,16887,60,4136,8
E12000007,London,region,10/11/2021,16879,59.9,3471,11
E12000007,London,region,09/11/2021,16868,59.9,2845,6
E12000007,London,region,08/11/2021,16862,59.8,2735,15
E12000007,London,region,07/11/2021,16847,59.8,2736,10
E12000007,London,region,06/11/2021,16837,59.8,2950,13
E12000007,London,region,05/11/2021,16824,59.7,2993,11
E12000007,London,region,04/11/2021,16813,59.7,3115,12
E12000007,London,region,03/11/2021,16801,59.6,3720,10
E12000007,London,region,02/11/2021,16791,59.6,2935,14
E12000007,London,region,01/11/2021,16777,59.6,3322,11
E12000007,London,region,31/10/2021,16766,59.5,3014,12
E12000007,London,region,30/10/2021,16754,59.5,3555,10
E12000007,London,region,29/10/2021,16744,59.4,3615,9
E12000007,London,region,28/10/2021,16735,59.4,3473,11
E12000007,London,region,27/10/2021,16724,59.4,3801,17
E12000007,London,region,26/10/2021,16707,59.3,3225,9
E12000007,London,region,25/10/2021,16698,59.3,3118,12
E12000007,London,region,24/10/2021,16686,59.2,3279,9
E12000007,London,region,23/10/2021,16677,59.2,4435,7
E12000007,London,region,22/10/2021,16670,59.1,3928,12
E12000007,London,region,21/10/2021,16658,59.1,4342,9
E12000007,London,region,20/10/2021,16649,59,3648,7
E12000007,London,region,19/10/2021,16642,59,3317,9
E12000007,London,region,18/10/2021,16633,59,3806,10
E12000007,London,region,17/10/2021,16623,58.9,3448,12
E12000007,London,region,16/10/2021,16611,58.9,3485,7
E12000007,London,region,15/10/2021,16604,58.8,3301,5
E12000007,London,region,14/10/2021,16599,58.8,2947,12
E12000007,London,region,13/10/2021,16587,58.7,3271,6
E12000007,London,region,12/10/2021,16581,58.7,2748,4
E12000007,London,region,11/10/2021,16577,58.6,3050,9
E12000007,London,region,10/10/2021,16568,58.6,2855,8
E12000007,London,region,09/10/2021,16560,58.5,2589,11
E12000007,London,region,08/10/2021,16549,58.5,2942,9
E12000007,London,region,07/10/2021,16540,58.4,3077,6
E12000007,London,region,06/10/2021,16534,58.4,2890,10
E12000007,London,region,05/10/2021,16524,58.3,3135,11
E12000007,London,region,04/10/2021,16513,58.3,2665,9
E12000007,London,region,03/10/2021,16504,58.2,2274,6
E12000007,London,region,02/10/2021,16498,58.2,2344,12
E12000007,London,region,01/10/2021,16486,58.1,2195,16
E12000007,London,region,30/09/2021,16470,58,2439,13
E12000007,London,region,29/09/2021,16457,58,3072,13
E12000007,London,region,28/09/2021,16444,57.9,2831,13
E12000007,London,region,27/09/2021,16431,57.9,2960,16
E12000007,London,region,26/09/2021,16415,57.8,2260,6
E12000007,London,region,25/09/2021,16409,57.8,3074,10
E12000007,London,region,24/09/2021,16399,57.7,2783,13
E12000007,London,region,23/09/2021,16386,57.6,2494,14
E12000007,London,region,22/09/2021,16372,57.5,2593,11
E12000007,London,region,21/09/2021,16361,57.4,2450,8
E12000007,London,region,20/09/2021,16353,57.4,2647,7
E12000007,London,region,19/09/2021,16346,57.3,2402,9
E12000007,London,region,18/09/2021,16337,57.2,2179,11
E12000007,London,region,17/09/2021,16326,57.1,2597,8
E12000007,London,region,16/09/2021,16318,57,2620,10
E12000007,London,region,15/09/2021,16308,56.9,2588,11
E12000007,London,region,14/09/2021,16297,56.8,2073,12
E12000007,London,region,13/09/2021,16285,56.7,2673,4
E12000007,London,region,12/09/2021,16281,56.6,2239,8
E12000007,London,region,11/09/2021,16273,56.5,2857,8
E12000007,London,region,10/09/2021,16265,56.3,3025,10
E12000007,London,region,09/09/2021,16255,56.2,3439,16
E12000007,London,region,08/09/2021,16239,56.1,3536,13
E12000007,London,region,07/09/2021,16226,55.9,2972,11
E12000007,London,region,06/09/2021,16215,55.8,2853,16
E12000007,London,region,05/09/2021,16199,55.6,3641,9
E12000007,London,region,04/09/2021,16190,55.5,3593,8
E12000007,London,region,03/09/2021,16182,55.3,3530,21
E12000007,London,region,02/09/2021,16161,55.2,3377,12
E12000007,London,region,01/09/2021,16149,55,2834,11
