"code,area,cumDeaths,cumVac,newCases,newDeaths,date,Day,Month,Year"
"E12000007,London,,60.1,3652,0,2021-11-14,14,11,2021"
"E12000007,London,16894,60.1,4088,5,2021-11-13,13,11,2021"
"E12000007,London,16889,60,3590,2,2021-11-12,12,11,2021"
"E12000007,London,16887,60,4136,8,2021-11-11,11,11,2021"
"E12000007,London,16879,59.9,3471,11,2021-11-10,10,11,2021"
"E12000007,London,16868,59.9,2845,6,2021-11-09,9,11,2021"
"E12000007,London,16862,59.8,2735,15,2021-11-08,8,11,2021"
"E12000007,London,16847,59.8,2736,10,2021-11-07,7,11,2021"
"E12000007,London,16837,59.8,2950,13,2021-11-06,6,11,2021"
"E12000007,London,16824,59.7,2993,11,2021-11-05,5,11,2021"
"E12000007,London,16813,59.7,3115,12,2021-11-04,4,11,2021"
"E12000007,London,16801,59.6,3720,10,2021-11-03,3,11,2021"
"E12000007,London,16791,59.6,2935,14,2021-11-02,2,11,2021"
"E12000007,London,16777,59.6,3322,11,2021-11-01,1,11,2021"
"E12000007,London,16766,59.5,3014,12,2021-10-31,31,10,2021"
"E12000007,London,16754,59.5,3555,10,2021-10-30,30,10,2021"
"E12000007,London,16744,59.4,3615,9,2021-10-29,29,10,2021"
"E12000007,London,16735,59.4,3473,11,2021-10-28,28,10,2021"
"E12000007,London,16724,59.4,3801,17,2021-10-27,27,10,2021"
"E12000007,London,16707,59.3,3225,9,2021-10-26,26,10,2021"
"E12000007,London,16698,59.3,3118,12,2021-10-25,25,10,2021"
"E12000007,London,16686,59.2,3279,9,2021-10-24,24,10,2021"
"E12000007,London,16677,59.2,4435,7,2021-10-23,23,10,2021"
"E12000007,London,16670,59.1,3928,12,2021-10-22,22,10,2021"
"E12000007,London,16658,59.1,4342,9,2021-10-21,21,10,2021"
"E12000007,London,16649,59,3648,7,2021-10-20,20,10,2021"
"E12000007,London,16642,59,3317,9,2021-10-19,19,10,2021"
"E12000007,London,16633,59,3806,10,2021-10-18,18,10,2021"
"E12000007,London,16623,58.9,3448,12,2021-10-17,17,10,2021"
"E12000007,London,16611,58.9,3485,7,2021-10-16,16,10,2021"
"E12000007,London,16604,58.8,3301,5,2021-10-15,15,10,2021"
"E12000007,London,16599,58.8,2947,12,2021-10-14,14,10,2021"
"E12000007,London,16587,58.7,3271,6,2021-10-13,13,10,2021"
"E12000007,London,16581,58.7,2748,4,2021-10-12,12,10,2021"
"E12000007,London,16577,58.6,3050,9,2021-10-11,11,10,2021"
"E12000007,London,16568,58.6,2855,8,2021-10-10,10,10,2021"
"E12000007,London,16560,58.5,2589,11,2021-10-09,9,10,2021"
"E12000007,London,16549,58.5,2942,9,2021-10-08,8,10,2021"
"E12000007,London,16540,58.4,3077,6,2021-10-07,7,10,2021"
"E12000007,London,16534,58.4,2890,10,2021-10-06,6,10,2021"
"E12000007,London,16524,58.3,3135,11,2021-10-05,5,10,2021"
